
--- [START 2019-07-16_01-15-09] ----------------------------------------------------------------

	@common.py:  
	set random seed
		SEED = 1563210910
	set cuda environment
		torch.__version__              = 1.1.0
		torch.version.cuda             = 9.0.176
		torch.backends.cudnn.version() = 7501
		os['CUDA_VISIBLE_DEVICES']     = 0
		torch.cuda.device_count()      = 1



	SEED         = 1563210910
	PROJECT_PATH = /root/share/project/kaggle/2019/chest/build/single_mask_05
	__file__     = /root/share/project/kaggle/2019/chest/build/single_mask_05/unet_0/train2.py
	out_dir      = /root/share/project/kaggle/2019/chest/result/unet-256-fold2-00

** dataset setting **
batch_size = 7
train_dataset : 
	mode   = train
	split  = train2_10075.npy
	csv    = train-rle.csv
	folder = dicom/dicom-images-train
	num_component[n] = 2079
	num_component[0] = 7996
	len    = 10075

valid_dataset : 
	mode   = train
	split  = valid2_600.npy
	csv    = train-rle.csv
	folder = dicom/dicom-images-train
	num_component[n] = 300
	num_component[0] = 300
	len    = 600


** net setting **
	initial_checkpoint = None
<class 'model.UNet'>

optimizer
  SGD (
Parameter Group 0
    dampening: 0
    lr: 0.01
    momentum: 0.9
    nesterov: False
    weight_decay: 0.0001
)
schduler
  NullScheduler
lr=0.01000 

** start training here! **
   batch_size=7,  iter_accum=4
                      |----------- VALID -----------|-------- TRAIN/BATCH -------------------------
rate     iter   epoch |  loss    dice   neg   pos   |   loss    dice  neg   pos   |  time          
---------------------------------------------------------------------------------------------------
0.01000   62.0   43.1 |  0.254   0.458  0.51  0.40  |  0.045   0.576  0.61  0.54  |  8 hr 24 min
0.01000   62.5   43.4 |  0.316   0.528  0.64  0.42  |  0.043   0.538  0.57  0.50  |  8 hr 28 min
0.01000   63.0   43.8 |  0.316   0.528  0.64  0.42  |  0.051   0.462  0.45  0.48  |  8 hr 32 min
0.01000   63.5   44.1 |  0.316   0.528  0.64  0.42  |  0.040   0.596  0.65  0.54  |  8 hr 36 min
0.01000   64.0   44.5 |  0.316   0.528  0.64  0.42  |  0.047   0.492  0.47  0.52  |  8 hr 40 min
0.01000   64.5   44.8 |  0.316   0.528  0.64  0.42  |  0.044   0.584  0.64  0.53  |  8 hr 44 min
0.01000   65.0*  45.2 |  0.248   0.366  0.30  0.43  |  0.046   0.505  0.52  0.49  |  8 hr 48 min
0.01000   65.5   45.5 |  0.248   0.366  0.30  0.43  |  0.047   0.533  0.59  0.47  |  8 hr 52 min
0.01000   66.0   45.9 |  0.248   0.366  0.30  0.43  |  0.042   0.566  0.60  0.53  |  8 hr 56 min
0.01000   66.5   46.2 |  0.248   0.366  0.30  0.43  |  0.045   0.440  0.35  0.53  |  9 hr 00 min
0.01000   67.0   46.6 |  0.248   0.366  0.30  0.43  |  0.043   0.492  0.47  0.51  |  9 hr 04 min
0.01000   67.5   46.9 |  0.277   0.394  0.36  0.43  |  0.042   0.495  0.47  0.52  |  9 hr 08 min
0.01000   68.0   47.2 |  0.277   0.394  0.36  0.43  |  0.045   0.532  0.57  0.50  |  9 hr 12 min
0.01000   68.5   47.6 |  0.277   0.394  0.36  0.43  |  0.046   0.480  0.49  0.47  |  9 hr 16 min
0.01000   69.0   47.9 |  0.277   0.394  0.36  0.43  |  0.040   0.620  0.70  0.54  |  9 hr 20 min
0.01000   69.5   48.3 |  0.277   0.394  0.36  0.43  |  0.043   0.553  0.58  0.53  |  9 hr 24 min
0.01000   70.0*  48.6 |  0.270   0.245  0.13  0.36  |  0.040   0.520  0.50  0.54  |  9 hr 29 min
0.01000   70.5   49.0 |  0.270   0.245  0.13  0.36  |  0.048   0.539  0.58  0.50  |  9 hr 33 min
0.01000   71.0   49.3 |  0.270   0.245  0.13  0.36  |  0.053   0.454  0.43  0.48  |  9 hr 37 min
0.01000   71.5   49.7 |  0.270   0.245  0.13  0.36  |  0.048   0.492  0.48  0.50  |  9 hr 40 min
0.01000   72.0   50.0 |  0.270   0.245  0.13  0.36  |  0.083   0.222  0.09  0.35  |  9 hr 44 min
0.01000   72.5   50.4 |  0.239   0.457  0.49  0.42  |  0.052   0.348  0.25  0.44  |  9 hr 49 min
0.01000   73.0   50.7 |  0.239   0.457  0.49  0.42  |  0.049   0.444  0.41  0.48  |  9 hr 53 min
0.01000   73.5   51.1 |  0.239   0.457  0.49  0.42  |  0.049   0.487  0.46  0.51  |  9 hr 57 min
0.01000   74.0   51.4 |  0.239   0.457  0.49  0.42  |  0.047   0.452  0.43  0.48  | 10 hr 01 min
0.01000   74.5   51.8 |  0.239   0.457  0.49  0.42  |  0.047   0.508  0.49  0.53  | 10 hr 05 min
0.01000   75.0*  52.1 |  0.295   0.497  0.56  0.43  |  0.039   0.579  0.63  0.53  | 10 hr 09 min
0.01000   75.5   52.5 |  0.295   0.497  0.56  0.43  |  0.048   0.446  0.42  0.47  | 10 hr 13 min
0.01000   76.0   52.8 |  0.295   0.497  0.56  0.43  |  0.046   0.516  0.53  0.50  | 10 hr 17 min
0.01000   76.5   53.2 |  0.295   0.497  0.56  0.43  |  0.043   0.537  0.54  0.53  | 10 hr 21 min
0.01000   77.0   53.5 |  0.295   0.497  0.56  0.43  |  0.042   0.512  0.49  0.53  | 10 hr 25 min
